,ds,y,yhat1,yhat2,yhat3,yhat4,yhat5,yhat6,yhat7,yhat8,yhat9,yhat10,yhat11,yhat12,yhat13,yhat14,yhat15,yhat16,yhat17,yhat18,yhat19,yhat20,yhat21,yhat22,yhat23,yhat24,yhat25,yhat26,yhat27,yhat28,yhat29,yhat30,ar1,ar2,ar3,ar4,ar5,ar6,ar7,ar8,ar9,ar10,ar11,ar12,ar13,ar14,ar15,ar16,ar17,ar18,ar19,ar20,ar21,ar22,ar23,ar24,ar25,ar26,ar27,ar28,ar29,ar30,trend,season_yearly
121,2023-08-06,3275.2488,3279.88134765625,3277.7451171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.37862014770508,41.24220275878906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3244.7041015625,-8.201566696166992
122,2023-08-07,3268.8311,3278.7626953125,3277.2841796875,3274.005615234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.69452667236328,41.21613311767578,37.93764114379883,,,,,,,,,,,,,,,,,,,,,,,,,,,,3244.6123046875,-8.544398307800293
123,2023-08-08,3260.6196,3267.58447265625,3277.49365234375,3279.5625,3272.006103515625,,,,,,,,,,,,,,,,,,,,,,,,,,,32.01367950439453,41.922630310058594,43.991668701171875,36.43524169921875,,,,,,,,,,,,,,,,,,,,,,,,,,,3244.5205078125,-8.949772834777832
124,2023-08-09,3244.4867,3262.80908203125,3265.5361328125,3274.821044921875,3277.47314453125,3273.904296875,,,,,,,,,,,,,,,,,,,,,,,,,,27.803979873657227,30.53125,39.816001892089844,42.46797561645508,38.89919662475586,,,,,,,,,,,,,,,,,,,,,,,,,,3244.4287109375,-9.423813819885254
125,2023-08-10,3254.5597,3250.5986328125,3262.88818359375,3271.8466796875,3279.82373046875,3280.951171875,3279.26220703125,,,,,,,,,,,,,,,,,,,,,,,,,16.23343849182129,28.523347854614258,37.48188781738281,45.45854187011719,46.586273193359375,44.89725112915039,,,,,,,,,,,,,,,,,,,,,,,,,3244.3369140625,-9.97205924987793
126,2023-08-11,3189.248,3248.159423828125,3251.65966796875,3270.6318359375,3272.05712890625,3278.29248046875,3284.8623046875,3282.036865234375,,,,,,,,,,,,,,,,,,,,,,,,14.513459205627441,18.01369285583496,36.98594665527344,38.41102600097656,44.64651107788086,51.21654510498047,48.39094924926758,,,,,,,,,,,,,,,,,,,,,,,,3244.2451171875,-10.59937572479248
127,2023-08-12,3185.6410666666666,3208.12841796875,3262.83154296875,3254.466796875,3276.0478515625,3281.796875,3283.75537109375,3282.996826171875,3285.198486328125,,,,,,,,,,,,,,,,,,,,,,,-24.715316772460938,29.98785400390625,21.62310028076172,43.204376220703125,48.95340347290039,50.911842346191406,50.15316390991211,52.35491943359375,,,,,,,,,,,,,,,,,,,,,,,3244.153564453125,-11.309941291809082
128,2023-08-13,3182.0341333333336,3190.306884765625,3202.5400390625,3258.145263671875,3259.26611328125,3278.84765625,3281.51513671875,3291.12353515625,3299.037109375,3296.90869140625,,,,,,,,,,,,,,,,,,,,,,-41.64765930175781,-29.414546966552734,26.190706253051758,27.311431884765625,46.893192291259766,49.560752868652344,59.1690559387207,67.08255004882812,64.95408630371094,,,,,,,,,,,,,,,,,,,,,,3244.0615234375,-12.10716724395752
129,2023-08-14,3178.4272,3185.388916015625,3192.177001953125,3211.21826171875,3264.03076171875,3264.750732421875,3282.7529296875,3292.201171875,3292.99853515625,3296.123779296875,3298.521484375,,,,,,,,,,,,,,,,,,,,,-45.58740234375,-38.79920196533203,-19.757904052734375,33.054420471191406,33.774471282958984,51.77668380737305,61.22508239746094,62.02222442626953,65.14759063720703,67.54521942138672,,,,,,,,,,,,,,,,,,,,,3243.969970703125,-12.993690490722656
130,2023-08-15,3176.1758,3178.1201171875,3181.41064453125,3191.088623046875,3208.5185546875,3263.83935546875,3268.18359375,3279.221923828125,3287.88916015625,3295.30908203125,3293.148193359375,3296.67138671875,,,,,,,,,,,,,,,,,,,,-51.786617279052734,-48.496124267578125,-38.81801223754883,-21.388038635253906,33.932579040527344,38.276954650878906,49.315216064453125,57.98242950439453,65.40216064453125,63.24153137207031,66.7646713256836,,,,,,,,,,,,,,,,,,,,3243.8779296875,-13.971338272094727
